SongID,SongTitle,KeyName,Arranger,AsSungBy,LT_Provider,SongStyle,SongLength,Difficulty,Genre,Tempo,StartingWords
134,With a Song in My Heart (8 part),Eb,Jim Henry/Renee Craig,--,Tim Waurick,Ballad,01:45,3,,Ballad,"With a song in my heart, I behold your ..."
450,Wonderful One,Eb,Bob Bohn,Boston Common,Tim Waurick,,03:44,,,,"Calling, calling, dear. Loved one, can't you …"
278,Wrap Your Troubles In Dreams,C,Mark Hale,Michigan Jake,Tim Waurick,Medium,02:14,,,Medium,Ba dap ba dap … When skies are cloudy an' grey …
279,Yes Indeed,G,Earl Moon,Sidewinders,Tim Waurick,Spiritual,02:24,1,Spiritual,,"You will shout when it hits you yes, indeed …"
280,"Yes Sir, That's My Baby",E,David Wright,Four Voices,Tim Waurick,Uptune,03:17,,,Uptune,"Well, ain’t she fine! My, oh my, that gal's so …"
291,Yesterday,F,Tom Gentry,--,--,Ballad,,,,Ballad,"Oh, Yesterday …"
312,Yesterday I Heard the Rain,Eb,Brent Graham,Realtime,Tim Waurick,Ballad,04:14,,,Ballad,You've gone away from me …
281,You Brought A New Kind Of Love To Me,Ab,Larry Triplett,Wheelhouse,Tim Waurick,Uptune,02:34,,,Uptune,"Say there, sweet one, (sweet one) fairer than …"
298,You Can Fly,F,Clay Hine,Max Q,Tim Waurick,Uptune,02:42,,Disney,Uptune,Think of a wonderful thought …
283,You Make Me Feel So Young,C,Mark Hale,Michigan Jake,Sean Milligan,Medium,03:22,,,Medium,Do I seem as cheerful as a schoolboy playing …
535,You Make Me Feel So Young,C,Mark Hale,Michigan Jake,Tim Waurick,,03:24,,,,Do I seem as cheerful as a schoolboy playing …
219,You Took Advantage Of Me,Db,Aaron Dale,The Crush,Tim Waurick,Uptune,02:31,4,,Uptune,Ya caught me! Ya taught me! ...
414,You're a Heavenly Thing,Bb,Dan Wessler,After Hours,Tim Waurick,--,02:22,,,,"Baby you stole this heart of mine, and just …"
289,You're Nobody Till Somebody Loves You,Ab,Greg Volk,Excalibur,Sean Milligan,Uptune,02:43,,,Uptune,Everybody’s lookin’ for some kind of …
57,"You're Sixteen, You're Beautiful",D,Aaron Dale,OC Times,Tim Waurick,Uptune,02:09,2,Popular,Uptune,"You come on like a dream, peaches and cream, ..."
284,Your First Day in Heaven,C,Aaron Dale,Crossroads,Tim Waurick,Spiritual,01:48,4,Spiritual,,Ba da dat da da dat da da ba da ba da da Well …
285,Your Mother Should Know Medley,Gm,Greg Volk,Excalibur,Tim Brooks,Uptune,03:25,,,Uptune,Let's all get up and dance to a song ...
290,Zing! Went the Strings of My Heart,Eb,Renee Craig,Jokers Wild,Tim Waurick,Uptune,02:59,,,Uptune,"I never could carry a tune, never knew where …"
