Song Title|Voicing|Arranger
Blue Velvet|TTBB|Scott Kitzmiller
Blues (My Naughty Sweetie Gives to Me)|TTBB|Robert Rund
Bohemian Rhapsody|SATB|Deke Sharon, Anne Raugh
Both Sides Now|SATB|Cay Outerbridge
Bottom of the River|SATB|Cy Wood
Bottom of the River|SSAA|Brad Stephenson
Brave|SATB|Kohl Kitzmiller
Break it to Me Gently|TTBB|Robert Rund
Breaking Up is Hard to Do|SATB|Tom Campbell
Bridge Over Troubled Water|SATB|Ben Bram
Bring Me Sunshine|TTBB|Theodore Hicks
Burnin’ the Roadhouse Down|TTBB|Aaron Dale
Busy Doing Nothing|SSAA|Kohl Kitzmiller
But Beautiful|TTBB|Justin Miller
But Beautiful|TTBB|Mark Jennings
But For Now|TTBB|Simon Arnott
C’est Magnifique|TTBB|Bill Stauffer
Can You Feel the Love Tonight?|SATB|June Dale
Can’t Buy Me Love|SATB|Kohl Kitzmiller
Can’t Buy Me Love|SSAA|Kohl Kitzmiller
Can’t Buy Me Love|TTBB|Kohl Kitzmiller
Can’t Help Falling in Love|SATB|Kohl Kitzmiller
Can’t Stop the Feeling!|SATB|Aaron Dale
Can’t Stop the Feeling!|TTBB|Aaron Dale
Caravan|TTBB|Scott Kitzmiller
Cardinal Call|TTBB|Andrew Crow
Carolina Moon|TTBB|Scott Kitzmiller
Caroling, Caroling|SATB|Michele Weir
Carrying the Banner|TTBB|Adam Bock
Casey’s Odyssey|TTBB|Robert Rund
Caught a Touch of Your Love|SSAA|Kohl Kitzmiller
Cecilia|TTBB|Interstate Rivals
Change the World|SATB|Deke Sharon, David Wright
Change the World|TTBB|Mo Field
Charm You|TTBB|Patrick McAlexander
Chicago, You’re Our Home!|TTBB|Kohl Kitzmiller
Childhood|TTBB|Kevin Keller
Children’s Medley|SATB|Barbershop Harmony Society
Chitty Chitty Bang Bang|TTBB|Mark Goodney
Christmas Can’t Be Far Away|TTBB|Lyle Pettigrew
Christmas Every Day|TTBB|Grant Goldstein
Christmas is Starting Now|TTBB|Dave Ebersole
Christmas Time is Here|SATB|Kohl Kitzmiller
Christmas Time is Here|SSAA|Kohl Kitzmiller
Christmas Time is Here|TTBB|Kohl Kitzmiller
Cielito Lindo|TTBB|Steve Tramack
Circle of Life|SATB|Kohl Kitzmiller
Circle of Life|TTBB|Patrick McAlexander
Climb Ev’ry Mountain|TTBB|Scott Kitzmiller
Cloudburst|TTBB|Larry Triplett
Colors of the Wind|TTBB|Marty Israel
