Song Title|Voicing|Arranger
I Can Dream, Can’t I?|SSAA|Melody Hine
I Can See Clearly Now|SSAA|Melody Hine
I Cried for You|SATB|Melody Hine
I Cried for You|SSAA|Melody Hine
I Cried for You|TTBB|Melody Hine
I Don’t Care About You|SSAA|Melody Hine
I Don’t Want to Set the World on Fire|TTBB|Melody Hine
I Love Me|SSAA|Melody Hine
I Put a Spell on You|TTBB|Melody Hine
I Want to Be Happy|SATB|Melody Hine
I Want to Be Happy|SSAA|Melody Hine
I Want to Be Happy|TTBB|Melody Hine
I Will|SATB|Melody Hine
I Will|SSAA|Melody Hine
I Will|TTBB|Melody Hine
I Won’t Say I’m in Love|SSAA|Melody Hine
I’ll Build a Stairway to Paradise|SSAA|Melody Hine
I’ll Never Be Free|TTBB|Melody Hine
I’m Nobody’s Baby|SATB|Melody Hine
I’m Nobody’s Baby|SSAA|Melody Hine
I’m Nobody’s Baby|TTBB|Melody Hine
I’m Still Standing|SATB|Melody Hine
I’m Still Standing|SSAA|Melody Hine
I’m Still Standing|TTBB|Melody Hine
if i were a fish|SATB|Melody Hine
if i were a fish|SSAA|Melody Hine
if i were a fish|TTBB|Melody Hine
In the Mood|SSAA|Melody Hine
It’s Today|SSAA|Melody Hine
Jackson|TTBB|Melody Hine
Jersey Bounce|SSAA|Melody Hine
Jesus Christ, the Apple Tree|SATB|Melody Hine
Jesus Christ, the Apple Tree|SSAA|Melody Hine
Jesus Christ, the Apple Tree|TTBB|Melody Hine
Keep Smiling at Trouble (Trouble’s a Bubble)|SATB|Melody Hine
Keep Smiling at Trouble (Trouble’s a Bubble)|SSAA|Melody Hine
Keep Smiling at Trouble (Trouble’s a Bubble)|TTBB|Melody Hine
Kim Possible/Danny Phantom Medley|SATB|Melody Hine
Let’s Be Bad|SATB|Melody Hine
Let’s Be Bad|SSAA|Melody Hine
Let’s Be Bad|TTBB|Melody Hine
Like a Prayer|TTBB|Melody Hine
Little Jazz Bird|SATB|Melody Hine
Little Jazz Bird|SSAA|Melody Hine
Little Jazz Bird|TTBB|Melody Hine
Louder Than Words|SATB|Melody Hine
Love is an Open Door|SATB|Melody Hine
Love On Top|SSAA|Melody Hine
Love You Anymore|TTBB|Melody Hine
Lover, Come Back to Me|SATB|Melody Hine
Luck Be a Lady Tonight|SSAA|Melody Hine
Ma’oz Tzur|SATB|Melody Hine
Ma’oz Tzur|SSAA|Melody Hine
Ma’oz Tzur|TTBB|Melody Hine
Mama’s Broken Heart|SSAA|Melody Hine
Maybe This Time|SATB|Melody Hine
Maybe This Time|SSAA|Melody Hine
Maybe This Time|TTBB|Melody Hine
Me Too|SSAA|Melody Hine
Men in Tights|TTBB|Melody Hine
Merry Christmas, Happy Holidays|SATB|Melody Hine
Merry Christmas, Happy Holidays|SSAA|Melody Hine
Merry Christmas, Happy Holidays|TTBB|Melody Hine
My One and Only Love|TTBB|Melody Hine
Naughty|SSAA|Melody Hine
Never Getting Rid of Me|SSAA|Melody Hine
No More Blues|TTBB|Melody Hine
Parked Out by the Lake|TTBB|Melody Hine
Parked Out By the Lake|SSAA|Melody Hine
Peel Me a Grape|SSAA|Melody Hine
Please Don’t Talk About Me When I’m Gone|TTBB|Melody Hine
Public Domain Collection|SSAA|Melody Hine
Rainbow|SSAA|Melody Hine
Row, Row, Row Your Boat|TTBB|Melody Hine
Rusty Old American Dream|TTBB|Melody Hine
Santa Claus is Comin’ to Town|TTBB|Melody Hine
Saturday Night is the Loneliest Night of the Week|SSAA|Melody Hine
Saturday Night is the Loneliest Night of the Week|TTBB|Melody Hine
Say It With Music|SATB|Melody Hine
Say It With Music|SSAA|Melody Hine
Say It With Music|TTBB|Melody Hine
Seaside Rendezvous|SSAA|Melody Hine
She Blinded Me with Science|TTBB|Melody Hine
She Used to Be Mine|SSAA|Melody Hine
Shiny Teeth|SATB|Melody Hine
Sing|SATB|Melody Hine
Snowmiser/Heatmiser|SSAA|Melody Hine
Somewhere Over the Rainbow|SATB|Melody Hine
Soul Man|TTBB|Melody Hine
Spinning Wheel|TTBB|Melody Hine
Survivor/I Will Survive Medley|SSAA|Melody Hine
Take It to the Limit|SATB|Melody Hine
Take It to the Limit|SSAA|Melody Hine
Take It to the Limit|TTBB|Melody Hine
That Man|SSAA|Melody Hine
That’s What Friends Are For|TTBB|Melody Hine
The Best is Yet to Come|SSAA|Melody Hine
The Dog Days Are Over|SATB|Melody Hine
The Dog Days Are Over|SSAA|Melody Hine
The Dog Days Are Over|TTBB|Melody Hine
The Greatest Show|SSAA|Melody Hine
The Greatest Show/Come Alive|SATB|Melody Hine
The Place Where the Lost Things Go|SSAA|Melody Hine
The Song is You|SSAA|Melody Hine
These Foolish Things|TTBB|Melody Hine
They Can’t Take That Away from Me|SSAA|Melody Hine
They Don’t Let You in the Opera (If You’re a Country Star)|SSAA|Melody Hine
This is Me|SATB|Melody Hine
This is Me|SSAA|Melody Hine
This is Me|TTBB|Melody Hine
Time Warp|TTBB|Melody Hine
Traffic Jam|SATB|Melody Hine
Traffic Jam|SSAA|Melody Hine
Trashin’ the Camp|SATB|Melody Hine
Trashin’ the Camp|SSAA|Melody Hine
Try Everything|SSAA|Melody Hine
Two of a Kind|SSAA|Melody Hine
Under the Sea|SATB|Melody Hine
Wake Me Up|SSAA|Melody Hine
Walkin’ in a Winter Wonderland|TTBB|Melody Hine
We Built This City|SSAA|Melody Hine
We’ve Got a World That Swings|TTBB|Melody Hine
What Was I Made For?|SSAA|Melody Hine
What’s Going On|TTBB|Melody Hine
When You Come Back Down|SSAA|Melody Hine
Where I Wanna Be|SATB|Melody Hine
Wrapped Up in You|SATB|Melody Hine
You and I|SSAA|Melody Hine
You Didn’t Want Me When You Had Me|TTBB|Melody Hine
You Make Me Feel So Young|SSAA|Melody Hine
You Will Be Found|SATB|Melody Hine
You Will Be Found|SSAA|Melody Hine
You Will Be Found|TTBB|Melody Hine
You’re Nobody ‘Til Somebody Loves You|SSAA|Melody Hine
You’re the One That I Want|SSAA|Melody Hine
Youth Public Domain Collection|SATB|Melody Hine
Youth Public Domain Collection|SSAA|Melody Hine
Youth Public Domain Collection|TTBB|Melody Hine
