Song Title|Voicing|Arranger
ANGELS AMONG US|SSAA|June Dale
ANGELS AMONG US|SSAA|Marge Bailey
ANGELS AMONG US|SSAA|Tedda Lippincott
ANGELS FROM THE REALMS OF GLORY|SSAA|Carolyn E. Johnson
ANGRY|SSAA|Norma Holtzmeier
ANNIE'S SONG|SSAA|Lauren Kahn
ANNIE'S SONG|SSAA|Tedda Lippincott
ANOTHER SOMEBODY DONE SOMEBODY WRONG SONG (HEY WON'T YOU PLAY)|SSAA|Tedda Lippincott
ANY DREAM WILL DO|SSAA|Tedda Lippincott
ANY MAN OF MINE|SSAA|David Wallace
ANY MAN OF MINE|SSAA|Elaine Gain
ANY MAN OF MINE|SSAA|Tedda Lippincott
ANYTHING CAN HAPPEN IF YOU LET IT|SSAA|Nancy Bergman
ANYTHING YOU CAN DO|SSAA|Charlene Yazurlo
APPLAUSE|SSAA|Marge Bailey
APPLAUSE!|SSAA|Marie B. Johnson
AQUARIUS|SSAA|Dot Short
ARTHUR MURRAY TAUGHT ME DANCING IN A HURRY|SSAA|Carolyn Schmidt
AS IF WE NEVER SAID GOODBYE|SSAA|Joey Minshall
AS LONG AS HE NEEDS ME|SSAA|Gene Cokeroft
AS LONG AS I'M SINGIN' MY SONG|SSAA|Elaine Gain
AS LONG AS I'M SINGIN' MY SONG/SING (333)|SSAA|Elaine Gain
AS WITH GLADNESS|SSAA|Carolyn Johnson
AS WITH GLADNESS - YW|SSAA|Carolyn Johnson
AT THE BEGINNING|SSAA|Carolyn Schmidt
AT THE CODFISH BALL|SSAA|Jeff Veteto
AT THE END OF A BEAUTIFUL DAY|SSAA|Carolyn Johnson
AUCTIONEER|SSAA|Doris Twardosky
AUCTIONEER|SSAA|Tedda Lippincott
AULD LANG SYNE|SSAA|Carolyn Johnson
AUTUMN LEAVES|SSAA|Diane Landry
AUTUMN LEAVES|SSAA|Kay Bromert
AW HECK|SSAA|Charlene Yazurlo
AWAY IN A MANGER|SSAA|Carolyn Johnson
BABY I'M YOURS|SSAA|Jeanne Elmuccio
BABY MEDLEY - Bye Bye Baby|SSAA|Carolyn Schmidt
BABY SISTER BLUES|SSAA|Tom Campbell
BABY'S IN BLACK|SSAA|Carolyn Johnson
BACK IN THE OLD ROUTINE|SSAA|Nancy Bergman
BAD ROMANCE|SSAA|Elaine Gain
BALD HEADED MEN|SSAA|Barbara McNeil
BARBERSHOP A SONG WITH ME|SSAA|Carolyn Johnson
BARBERSHOP A SONG WTH ME - YW|SSAA|Carolyn Johnson
BARBERSHOP BUDDIES|SSAA|Carolyn E. Johnson
BARBERSHOPPIN' COWGIRL|SSAA|Carolyn Johnson
BE A SANTA|SSAA|Joey Minshall
BE MY SPRINGTIME|SSAA|Marie Johnson
BE OUR GUEST|SSAA|Nancy Bergman
BE OUR GUEST|SSAA|Tedda Lippincott
BEACH BOYS MEDLEY – 165|SSAA|Paula Mauritzen
BEACH BOYS MEDLEY #244|SSAA|Tedda Lippincott
BEAUTIFUL SAVIOR|SSAA|Dotty Hougen
BEAUTIFUL TEXAS|SSAA|Michelle Mitchell
BEAUTY AND THE BEAST|SSAA|Betty Grant
BEAUTY AND THE BEAST|SSAA|Bitsy Bacon
BEAUTY AND THE BEAST|SSAA|Gayle Rastorfer
BEAUTY SCHOOL DROPOUT|SSAA|Eileen Leotta
BECAUSE HE LIVES|SSAA|Tedda Lippincott
BECAUSE IT'S CHRISTMAS|SSAA|Tedda Lippincott
BECAUSE YOU LOVE ME|SSAA|June Dale
BECAUSE YOU LOVED ME|SSAA|Elaine Gain
BECAUSE YOU LOVED ME|SSAA|Jean McFadyen
BEE GEES MEDLEY|SSAA|Brian Beck and Renee Craig
BEEP BEEP|SSAA|Carolyn Healey
BEEP BEEP|SSAA|Tedda Lippincott
BEER BARREL POLKA (ROLL OUT THE BARREL)|SSAA|Nancy Bergman
BEFORE THE PARADE PASSES BY|SSAA|Carolyn Schmidt
BEIN' GREEN|SSAA|Kay Bromert
BEIN' GREEN|SSAA|Nancy Bergman
BEING ALIVE|SSAA|Michael Gellert
BETTER LUCK NEXT TIME|SSAA|Diane M. Clark
BETTER WHEN I'M DANCIN'|SSAA|Elaine Gain
BEWITCHED|SSAA|Doris Twardosky
BIDI BOM|SSAA|Joan Homokay
BIG BAND SANTA|SSAA|Sharon Holmes
BIG BONED GAL|SSAA|Tedda Lippincott
BIG GIRLS DON'T CRY|SSAA|Jim Arns
BIG GIRLS DON'T CRY|SSAA|Tedda Lippincott
BIG SPENDER|SSAA|Bev Sellers
BILL|SSAA|Nancy Bergman
BIRDLAND|SSAA|Jim Arns
BLACKBIRD|SSAA|Carolyn E. Johnson
BLACKBIRD|SSAA|Carolyn Johnson
BLAME IT ON THE BOOGIE|SSAA|Jean Kane
BLAME IT ON THE BOSSA NOVA|SSAA|Cheryl Suhr
BLESSING, THE from Celtic Woman-A New Journey|SSAA|Kathy Barnett
BLUE|SSAA|Jo Lund
BLUE|SSAA|Tedda Lippincott
BLUE BAYOU|SSAA|Bev Sellers
BLUE BAYOU|SSAA|Connie Kash
BLUE CHRISTMAS|SSAA|Tedda Lippincott
BLUE HAWAII|SSAA|Jean Kane
BOOGIE WOOGIE BUGLE BOY|SSAA|Carolyn Healey
BOOGIE WOOGIE BUGLE BOY|SSAA|Connie Kash
BOOGIE WOOGIE BUGLE BOY|SSAA|Nancy Bergman
BOOK OF LOVE|SSAA|Marsha Zwicker
BOOK OF LOVE|SSAA|Rosemary Frerking
BOOT SCOOTIN' BOOGIE|SSAA|Tedda Lippincott
BOP TILL YOU DROP|SSAA|Barbara McNeill
BOSOM BUDDIES|SSAA|Marsha Zwicker
BOSOM BUDDIES|SSAA|Sonny Steffan
BOUNCE ME BROTHER WITH A SOLID FOUR|SSAA|Joyce Stanbery
BOY FROM NEW YORK CITY|SSAA|Tedda Lippincott
BRAVE|SSAA|Julie B. Starr
BRAZIL (AQUARELA DO BRASIL)|SSAA|Nancy Bergman
BREAKIN' UP IS HARD TO DO|SSAA|Debbie Porter
BREAKING UP IS HARD TO DO|SSAA|Anna Maria Parker
BREAKING UP IS HARD TO DO|SSAA|Bev Sellers
BREAKING UP IS HARD TO DO|SSAA|LaVeda Redfield
BREAKING UP IS HARD TO DO|SSAA|Nancy Bergman
BREAKING UP IS HARD TO DO|SSAA|Tedda Lippincott
BRIDGE OF LIGHT|SSAA|June Berg
Bring a Torch, Jeanette, Isabella|SSAA|Carolyn Johnson
BRING BACK THE MUSIC|SSAA|Avis Fellows
BRING HIM HOME|SSAA|David Briner
BRING HIM HOME|SSAA|Gene Bender
BRING ME BACK MY LOVIN' HONEY BOY|SSAA|Marie B. Johnson
BRING ON THE BEAUTIFUL GIRLS/I'M A SHOWGIRL|SSAA|Nancy Bergman
BROADWAY BABY|SSAA|Bev Sellers
BROADWAY BABY From 'Follies'|SSAA|Connie Kash
BROKEN HEARTED (HERE AM I)|SSAA|Carolyn Johnson
BROKEN HEARTED (HERE AM I)|SSAA|Nancy Bergman
BROTHER LOVE'S TRAVELIN' SALVATION SHOW|SSAA|Jean Shook
BUTTER|SSAA|Avis Fellows
BUTTER|SSAA|Jerilee Inghram
BUTTER|SSAA|Joan D'Agostino
BUTTONS AND BOWS|SSAA|Charlene Yazurlo
CABARET|SSAA|Jo Lund
CABARET|SSAA|Michael Gellert
CABARET|SSAA|Nancy Bergman
CALENDAR GIRL|SSAA|Marge Bailey
CALENDAR GIRL|SSAA|Tedda Lippincott
CALIFORNIA DREAMIN'|SSAA|Lynnell Diamond
CALIFORNIA DREAMIN'|SSAA|Tedda Lippincott
CALIFORNIA, HERE I COME|SSAA|Nancy Bergman
CALL ME A TAXI|SSAA|Peg Millard
CALL ME BACK, PAL O'MINE|SSAA|Carolyn E. Johnson
CAN YOU FEEL THE LOVE TONIGHT|SSAA|June Berg
CAN YOU FEEL THE LOVE TONIGHT|SSAA|June Dale
CAN YOU FEEL THE LOVE TONIGHT|SSAA|Marge Bailey
CAN YOU FEEL THE LOVE TONIGHT?|SSAA|Louise Hamilton
CAN YOU FEEL THE LOVE TONIGHT?|SSAA|Tedda Lippincott
CAN'T HELP FALLING IN LOVE|SSAA|Deborah Keretz
CAN'T HELP FALLING IN LOVE|SSAA|Jim Arns
CAN'T HELP FALLING IN LOVE|SSAA|Marsha Zwicker
CAN'T HELP FALLING IN LOVE|SSAA|Tedda Lippincott
CAN'T HELP LOVIN' DAT MAN|SSAA|Carolyn Butler
CAN'T HELP LOVIN' THAT MAN|SSAA|Anna Maria Parker
CAN'T STOP THE FEELING|SSAA|Elaine Gain
CAN'T TAKE MY EYES OFF OF YOU|SSAA|Elaine Gain
CANADIAN MAN|SSAA|Corinna Garriock
CANADIAN SUNSET|SSAA|Marge Bailey
CANDLE ON THE WATER|SSAA|Anna Maria Parker
CANDLE ON THE WATER|SSAA|Connie A. Nickel
CAR WASH|SSAA|Joey Minshall
CARIBBEAN AMPHIBIAN|SSAA|Carolyn Schmidt
CAROL ME|SSAA|Kay Bromert
CAUSE I'M A BLONDE|SSAA|Debbie Cleveland
CELEBRITY|SSAA|Avis Fellows
CHANCES ARE|SSAA|Sharon Holmes
CHANCES ARE|SSAA|Tedda Lippincott
CHANGE THE WORLD|SSAA|Tedda Lippincott
CHANGES MEDLEY - After You've Gone|SSAA|Bev Sellers
CHANNEL SURFIN'|SSAA|Tedda Lippincott
CHAPEL OF LOVE|SSAA|Anna Maria Parker
CHARLESTON|SSAA|Connie A. Nickel
CHARLESTON|SSAA|Jeanne Elmuccio
CHARLIE BROWN CHRISTMAS MEDLEY (260)|SSAA|Carole Prietto
CHARMED LIFE|SSAA|Chris Moyer
CHATTANOOGIE SHOE SHINE BOY|SSAA|Tedda Lippincott
CHEEK TO CHEEK|SSAA|Carolyn E. Johnson
CHEEK TO CHEEK|SSAA|Carolyn Johnson
CHEEK TO CHEEK|SSAA|ELAINE GAIN
CHIM CHIM CHER-EE|SSAA|June Dale
CHIQUITA BANANA|SSAA|Connie Kash
CHOC'LATE IN MY STOCKING|SSAA|Lynnell Diamond
CHOCOLATE|SSAA|Jan Meyer
CHOCOLATE|SSAA|Marge Bailey
CHOO CHOO CH'BOOGIE|SSAA|Becky Wilkins
CHOO CHOO CH'BOOGIE|SSAA|Cheryl Suhr
CHOO CHOO CH'BOOGIE|SSAA|LaVeda Redfield
Choo Choo Train!|SSAA|Joan Adler
CHRISTmas|SSAA|Greta Somers
CHRISTMAS CONGA|SSAA|Randy Fink Sahae
CHRISTMAS ISLAND|SSAA|Jean Shook
CHRISTMAS SONG, THE (CHESTNUTS ROASTING ON AN OPEN FIRE)|SSAA|Jo Lund
CHRISTMAS SONG, THE (CHESTNUTS ROASTING ON AN OPEN FIRE)|SSAA|Susan Kegley
CHRISTMAS TIME IS HERE|SSAA|Carole Prietto
CHRISTMAS TIME IS HERE|SSAA|Jan Olson
CHRISTMAS TIME IS HERE|SSAA|Patsee Parker
CHRISTMAS TIME IS HERE (Qt. or Ch.)|SSAA|Sharon Holmes
CHRISTMAS WALTZ, SILVER BELLS #085|SSAA|Tedda Lippincott
CIRCLE OF FRIENDS|SSAA|Gloria Eddy
CIRCLE OF FRIENDS|SSAA|Kay Bromert
CLIMB EVERY MOUNTAIN|SSAA|Sylvia Alsbury
CLIMBIN' UP THE MOUNTAIN|SSAA|Marie B. Johnson
COFFEE (IN A CARDBOARD CUP)|SSAA|Tedda Lippincott
COLD-HEARTED|SSAA|Julie B. Starr
COLOR THE CHILDREN|SSAA|June Berg
Colorado Christmas|SSAA|Kim Andrews
COLORADO MY HOME|SSAA|Sylvia Alsbury
COLORS OF THE WIND|SSAA|Sylvia Alsbury
COLORS OF THE WIND|SSAA|Tedda Lippincott
COME IN FROM THE RAIN|SSAA|Jo Lund
COME ON AND SING!|SSAA|June Dale and Erin Howden
Come On and Sing! (Organization Song)|SSAA|June Dale
COME RIGHT IN, SIT RIGHT DOWN, AND MAKE YOURSELF AT HOME|SSAA|Kay Bromert
COME SAIL AWAY|SSAA|June Dale
COMING HOME|SSAA|Lauren Kahn
CONSIDER YOURSELF|SSAA|Dot Calvin
COPACABANA (AT THE COPA)|SSAA|Jean McFadyen
COULD I HAVE THIS DANCE|SSAA|Charlene Yazurlo
COULD I HAVE THIS DANCE|SSAA|June Berg
COUNT ON ME|SSAA|Kim Andrews
COUNT YOUR BLESSINGS INSTEAD OF SHEEP|SSAA|Tedda Lippincott
CRABS WALK SIDEWAYS|SSAA|Charlene Yazurlo
CRAZY|SSAA|Avis Fellows
CRAZY|SSAA|Barbara Huffman
CRAZY|SSAA|Jean Shook
CRAZY|SSAA|Nancy Bergman
CRAZY|SSAA|Sylvia Alsbury
CRAZY|SSAA|Tedda Lippincott
CRUELLA DE VIL|SSAA|Lynnell Diamond
CRYING MYSELF TO SLEEP|SSAA|Nancy Bergman
CUANDO CALIENTA EL SOL|SSAA|Carol Lord
CUANTO LE GUSTA (a.k.a. La Parranda)|SSAA|Zona Snyder
CUPS (WHEN I'M GONE)|SSAA|Holly McKee
CUPS (YOU'RE GONNA MISS ME)|SSAA|Jenna Kellas
CUPS (YOU'RE GONNA MISS ME)|SSAA|Timari Thorstenson
DADDY (Hey Daddy, You Wanta Get the Best For Me)|SSAA|Nancy Bergman
DANCE WITH ME|SSAA|Carolyn Schmidt
DANCING IN THE STREET|SSAA|Marie Hampton
DANCING IN THE STREET - CHORUS VERSION|SSAA|Jo Lund
DANCING IN THE STREET - OVERLAY CHORUS|SSAA|Jo Lund
DANNY BOY|SSAA|Anna Maria Parker
DARE TO DREAM|SSAA|Marge Bailey
DAYBREAK|SSAA|Michael Gellert
DEAR OLD DONEGAL|SSAA|June Dale
DEARIE|SSAA|Jo Lund
DEARIE|SSAA|Nancy Bergman
DECK THE HALL|SSAA|Carolyn Johnson
DEED I DO|SSAA|Connie Kash
DEED I DO|SSAA|Lynnell Diamond
DEEP RIVER|SSAA|Anna Maria Parker
DEFYING GRAVITY|SSAA|Joey Minshall
DELILAH|SSAA|Diane Butler
DESPERADO|SSAA|Richard Hubbard
DESPERADO|SSAA|Sylvia Posso
DESTINATION MOON|SSAA|Sonny Steffan
DIAMONDS ARE A GIRL'S BEST FRIEND|SSAA|Tedda Lippincott
DIRECT OUR HARMONY|SSAA|Carolyn Johnson
DIRECT OUR HARMONY - YW|SSAA|Carolyn Johnson
DO WAH DITTY DITTY|SSAA|Marsha Zwicker
DO YOU BELIEVE IN MAGIC|SSAA|Joan D'Agostino
DO YOU HEAR THE PEOPLE SING|SSAA|Gene Bender
DO YOU HEAR WHAT I HEAR?|SSAA|Judy Vidal
DO YOU HEAR WHAT I HEAR?|SSAA|Kim Andrews
DO YOU HEAR WHAT I HEAR?|SSAA|Susan Kegley
DO YOU HEAR WHAT I HEAR?|SSAA|Tedda Lippincott
DOCK OF THE BAY, THE (SITTIN' ON)|SSAA|Charlene Yazurlo
DOGGIE IN THE WINDOW (HOW MUCH IS THAT)|SSAA|Dotty Hougen
DOIN' WHAT COMES NATUR'LLY|SSAA|Nancy Bergman
DON JUAN|SSAA|Carolyn Schmidt
DON'T BE A BABY, BABY|SSAA|Kay Bromert
DON'T BE A BABY, BABY|SSAA|Sonny Steffan
DON'T BE ANYBODY'S SOLDIER BOY BUT MINE|SSAA|Bitsy Bacon
DON'T BLAME ME|SSAA|Diane Landry
DON'T BLAME ME|SSAA|Peg Millard
DON'T CRY, LITTLE GIRL, DON'T CRY|SSAA|Carolyn Johnson
DON'T FORGET THE PAL YOU LEFT AT HOME|SSAA|Linda Edmondson
DON'T IT MAKE MY BROWN EYES BLUE|SSAA|Carolyn Schmidt and Avis Fellows
DON'T NOBODY BRING ME NO BAD NEWS|SSAA|Carolyn Healey
DON'T STOP ME NOW|SSAA|Carolyn Johnson
DON'T STOP ME NOW|SSAA|Kathleen D. McMillian
DON'T WORRY, BE HAPPY|SSAA|Cheryl D. Suhr
DON'T YOU WORRY 'BOUT A THING|SSAA|Anna-Maria Nystrom
DOO WOP MEDLEY (337)|SSAA|Anna Maria Parker
DOODLE DOO DOO|SSAA|Linda Edmondson
DOWN AT THE BARBECUE|SSAA|Marie B. Johnson
DOWN AT THE TWIST AND SHOUT|SSAA|Barbara McNeill
DOWN AT THE TWIST AND SHOUT|SSAA|June Dale
DOWN BY THE OLD MILL STREAM|SSAA|Marie B Johnson
DOWN TO THE RIVER TO PRAY|SSAA|Marge Bailey
DR. JAZZ MEDLEY - Take Me To The Land Of Jazz|SSAA|Mary K. Coffman
DR. JAZZ/JAZZ HOLIDAY MEDLEY - JAZZ HOLIDAY,|SSAA|Bev Sellers
DREAM|SSAA|Jean McFadyen
DREAM BABY (HOW LONG MUST I DREAM)|SSAA|Tedda Lippincott
DREAMER'S BALL|SSAA|Holly McKee
DREAMER'S BALL|SSAA|Kirsten Bridges
DREAMLAND/SWEETHEART MEDLEY|SSAA|Carolyn Johnson
DRUNKEN SAILOR|SSAA|June Dale
DUETTO BUFFO DI DUE GATTI|SSAA|Dede Nibler
DUNGAREE DOLL|SSAA|Marsha Zwicker
DUNK, DUNK, DUNK|SSAA|Zona Snyder
EASY STREET|SSAA|Bev Sellers
EASY STREET|SSAA|Joey Minshall
EDELWEISS|SSAA|Charlene Yazurlo
EDELWEISS|SSAA|Jean Shook
EIGHT CANDLES|SSAA|Jim Arns
EIGHT CANDLES|SSAA|Joan Adler
EIGHTH STREET ASSOCIATION (Barbeque And Fancy Dress Ball)|SSAA|Jim Arns
ELEANOR RIGBY|SSAA|Jim Arns
EMBRACEABLE YOU|SSAA|Carolyn Healey
EMBRACEABLE YOU|SSAA|David Briner
EMILY REMEMBERS|SSAA|Joan D'Agostino
ERES TU/TOUCH THE WIND|SSAA|Doris Twardosky
ERES TU/TOUCH THE WIND|SSAA|Judith S. Riley
EV'RYBODY WANTS TO BE A CAT|SSAA|Tedda Lippincott
EVERYBODY LOVES SOMEBODY|SSAA|Tedda Lippincott
EVERYTHING I DO, I DO IT FOR YOU|SSAA|Tedda Lippincott
EXACTLY LIKE YOU|SSAA|Elaine Gain
EYES OF A CHILD, THE (If I Could See the World Thr|SSAA|Doris Twardosky
FAIR IS FAIR|SSAA|JoAnne Ingels
FAME|SSAA|Pat LeVezu
FAR FROM THE HOME I LOVE|SSAA|Charlene Yazurlo
FEED THE BIRDS|SSAA|Diana C. Debruycker
FEED THE BIRDS|SSAA|June Dale
FEELS LIKE HOME|SSAA|Nancy Shumard
FELIZ NAVIDAD|SSAA|Julie B. Starr
FELIZ NAVIDAD|SSAA|Nancy Bergman
FELIZ NAVIDAD|SSAA|Valerie Hoy
FESTIVAL OF LIGHTS|SSAA|Carolyn Johnson
FEVER|SSAA|Jim Arns
FEVER|SSAA|Tedda Lippincott
FIELDS OF GOLD|SSAA|Anna-Maria Nystrom
FIELDS OF GOLD|SSAA|June Dale
FIFTEEN MINUTE INTERMISSION|SSAA|Norma J. Holzmeier
FIGHT SONG|SSAA|Elaine Gain
FIGHT SONG|SSAA|Melody Hine
FIND OUT WHAT THEY LIKE|SSAA|Jo Lund
Finding Wonderland|SSAA|Kathy Barnett
FIREFLY|SSAA|Marge Bailey
FIREFLY|SSAA|Nancy Bergman
FIRST NOEL|SSAA|Carolyn Johnson
FIVE MINUTES MORE|SSAA|Jeanne Elmuccio
FIVE MORE MINUTES|SSAA|Sylvia Alsbury and Karen Brooke
FIX YOU|SSAA|Corinna Garriock
FLASHDANCE, WHAT A FEELING|SSAA|ELAINE GAIN
FOLLOW THE CROWD|SSAA|Joan D'Agostino
FOR ALL THE WORLD|SSAA|David Briner
FOR ALL WE KNOW|SSAA|David Briner
FOR GOOD|SSAA|Carolyn Schmidt
FOR GOOD|SSAA|Joan D'Agostino
FOR GOOD|SSAA|June Berg
FOR GOOD|SSAA|Lynnell Diamond
FOR ONCE IN MY LIFE|SSAA|Joni Bescos
FOR ONCE IN MY LIFE|SSAA|Suzy Lobaugh
FOR SENTIMENTAL REASONS|SSAA|Jim Arns
FOR SENTIMENTAL REASONS (I LOVE YOU)|SSAA|Betty V. Grant
FOR THE BEAUTY OF THE EARTH|SSAA|Carolyn Johnson
FOR THE BEAUTY OF THE EARTH - YW|SSAA|Carolyn Johnson
FOR YOU|SSAA|Eileen Leotta
FOREST LAWN|SSAA|Tedda Lippincott
FOREVER FRIENDS|SSAA|Cynthia K Becker
FOREVER YOUNG|SSAA|Tedda Lippincott
FORGETTING|SSAA|Jan Meyer
FOUR BROTHERS (FOUR SISTERS)|SSAA|Kirsten Bridges
FREEDOM from 'Shenandoah'|SSAA|Sonny Steffan
FRIEND LIKE ME|SSAA|Carolyn Schmidt
FRIEND LIKE ME|SSAA|Dede Nibler
FROG KISSIN'|SSAA|Nancy Bergman
FROM A DISTANCE|SSAA|Kay Bromert
FROM A DISTANCE|SSAA|Tedda Lippincott
FROM THE FIRST HELLO TO THE LAST GOODBYE|SSAA|Jim Arns
FROM THIS MOMENT ON|SSAA|Carolyn Johnson
