Product Code/SKU,Product Name,Product Description,Arranger,Difficulty,Ensemble
212939,A Whole New World (8-part M/W) (arr. Hicks),"8-part (M/W), for mixed voices | Arranged by Theo Hicks | featured in the songbook ",Theo Hicks,3,
213531,A Wink and a Smile (SATB) (arr. Brittain),"SATB, for mixed voices | Arranged by Kim Brittain | Available in US and Canada ",Kim Brittain,2,SATB
213529,A Wink and a Smile (SSAA) (arr. Brittain),"SSAA, for female voices | Arranged by Kim Brittain | Available in US and Canada ",Kim Brittain,2,SSAA
7395,A Wink And A Smile (TTBB) (arr. Brittain),,Kim Brittain,2,TTBB
212927,ABC (SATB) (arr. Wright),"SATB, for mixed voices | Arranged by David Wright (formerly #114584) | as sung by The Jackson Five and as performed by Double Date | Available in USA, Canada, UK, Europe, Hong Kong, People's Republic of China, Taiwan, South Korea, Singapore, Thailand, Malaysia, Vietnam, Laos, Brunei, Burma, Cambodia, Indonesia, and Philippines. ",David Wright,4,
211696,ABC (SSAA) (arr. Wright),"SSAA, for female voices | Arranged by David Wright (formerly #114584) | as sung by The Jackson Five | Available in USA, Canada, UK, Europe, Hong Kong, People's Republic of China, Taiwan, South Korea, Singapore, Thailand, Malaysia, Vietnam, Laos, Brunei, Burma, Cambodia, Indonesia, and Philippines. ",David Wright,4,
211564,ABC (TTBB) (arr. Wright),"TTBB | Arranged by David Wright (formerly #114583) | as sung by The Jackson Five | Available in USA, Canada, UK, Europe, Hong Kong, People's Republic of China, Taiwan, South Korea, Singapore, Thailand, Malaysia, Vietnam, Laos, Brunei, Burma, Cambodia, Indonesia, and Philippines. ",David Wright,4,
211565,Ac-cent-tchu-ate The Positive (TTBB) (arr. Haeger),"TTBB | Arranged by Warren ""Buzz"" Haeger (formerly #110007) | from the motion picture Here Come The Waves  | Available in US and Canada",Buzz Haeger,2,
211491,Africa (SATB) (arr. Morris) ,,Alex Morris,3,
211489,Africa (SSAA) (arr. Morris) ,,Alex Morris,3,
211487,Africa (TTBB) (arr. Morris) ,,Alex Morris,3,
200780,After You've Gone (SSAA) (arr. Gray),SSAA. for female voices | Arranged by Don Gray | Available for all territories,Don Gray,3,
8842,After You've Gone (TTBB) (arr. Gray),TTBB | Arranged by Don Gray | as sung by The Four Voices | Available for all territories ,Don Gray,2,
7243,Ain't She Sweet (TTBB) (arr. Barbershop Harmony Society),TTBB | Arranged by the Barbershop Harmony Society | Available in US and Canada,Barbershop Harmony Society,3,TTBB
7024,Ain't We Got Fun (TTBB) (arr. Meyer),Arranged by: Robert Meyer,Robert Meyer,2,
7184,Alabamy Bound (TTBB) (arr. Szabo),Arranged by: Burt Szabo,Burt Szabo,4,
211666,Aladdin Medley (TTBB) (arr. Dale),,Aaron Dale,5,
209542,Alexander's Ragtime Band (TTBB) (arr. BHS),TTBB | Arranged by the Barbershop Harmony Society | from the Barbershop Classics Series | Licensed for all territories,,3,
7093,Alexander's Ragtime Band (TTBB) (arr. Szabo),"TTBB, for male/low voices | Arranged by Burt Szabo | Available in United States",Burt Szabo,2,TTBB
7117,Alice Blue Gown (TTBB) (arr. SPEBSQSA),Arranged by SPEBSQSA,SPEBSQSA,2,
8136,All Aboard For Dixie Land (TTBB) (arr. Moon),"TTBB, arranged by Earl Moon | from the Harmony Heritage Songs series | With appreciation to the BHS publications volunteer team for converting this arrangement from the original octavo format!  ",Earl Moon,4,
7112,All Alone (TTBB) (arr. Meyer),"TTBB, arranged by Bob Meyer | Available for the U.S. and Canada",Robert Meyer,2,TTBB
7235,All American Girl (TTBB) (arr. Waesche),"TTBB, arranged by Ed Waesche | This item licensed for US orders only",Ed Waesche,3,TTBB
